epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.74637,3.28984,6.4995,2.42127,0,0,0,0,3.1374,5.80275,2.34475,0.00016,0.00016,0.00016
2,12.9284,2.88541,4.51443,1.98048,0.01324,0.25,0.00994,0.00352,2.32806,9.27817,1.70629,0.000339987,0.000339987,0.000339987
3,30.2943,2.55591,4.42646,1.93274,0.00252,0.58333,0.00318,0.00086,2.32175,60.0427,1.72082,0.000519918,0.000519918,0.000519918
4,40.7615,2.64912,7.2353,1.69541,0.03462,0.83333,0.03067,0.01085,2.52239,131.088,3.07152,0.000699753,0.000699753,0.000699753
5,45.9815,2.41416,7.15645,1.72654,0.0025,0.75,0.00339,0.00121,2.48632,292.274,2.84119,0.000879447,0.000879447,0.000879447
6,49.1212,2.34429,3.28098,1.62153,0,0,0,0,nan,nan,nan,0.00105896,0.00105896,0.00105896
7,52.3339,2.4082,3.17937,1.82746,0,0,0,0,nan,nan,nan,0.00123825,0.00123825,0.00123825
8,61.5563,2.34157,3.83273,1.82735,0,0,0,0,nan,nan,nan,0.00141727,0.00141727,0.00141727
9,66.9828,2.47615,2.67058,1.70415,0,0,0,0,nan,nan,nan,0.00159598,0.00159598,0.00159598
10,69.3362,2.66019,2.80777,1.73024,0,0,0,0,nan,nan,nan,0.00177434,0.00177434,0.00177434
11,78.9088,2.3718,3.32202,1.91809,0,0,0,0,nan,nan,nan,0.00195231,0.00195231,0.00195231
12,96.8757,2.73423,3.21373,2.07848,0,0,0,0,nan,nan,nan,0.00199051,0.00199051,0.00199051
13,107.847,2.35458,2.346,1.73016,0,0,0,0,nan,nan,nan,0.00198871,0.00198871,0.00198871
14,110.694,2.63802,2.40447,1.85018,0,0,0,0,nan,nan,nan,0.00198675,0.00198675,0.00198675
15,130.838,2.33049,2.25219,1.69503,0,0,0,0,nan,nan,nan,0.00198464,0.00198464,0.00198464
16,138.978,2.33821,2.07262,1.55195,0,0,0,0,nan,nan,nan,0.00198238,0.00198238,0.00198238
17,142.66,2.62916,2.18486,1.67684,0,0,0,0,nan,nan,nan,0.00197996,0.00197996,0.00197996
18,155.398,2.31291,2.07737,1.6541,0,0,0,0,nan,nan,nan,0.00197738,0.00197738,0.00197738
19,162.634,2.30072,1.95392,1.60008,0,0,0,0,nan,nan,nan,0.00197465,0.00197465,0.00197465
20,167.568,2.16991,1.70522,1.54146,0,0,0,0,nan,nan,nan,0.00197177,0.00197177,0.00197177
21,177.126,2.1177,2.03657,1.5602,0,0,0,0,nan,nan,nan,0.00196874,0.00196874,0.00196874
22,190.34,2.04837,1.92053,1.7147,0,0,0,0,nan,nan,nan,0.00196555,0.00196555,0.00196555
23,192.915,2.12047,1.7099,1.47278,0.47777,0.41667,0.43465,0.15571,2.30795,2.97906,1.86287,0.00196222,0.00196222,0.00196222
24,205.356,1.9655,1.82882,1.5809,0.39604,0.25,0.2935,0.11951,2.18776,5.96969,1.74592,0.00195873,0.00195873,0.00195873
25,218.251,2.02976,1.81816,1.47609,0.2052,0.33333,0.24033,0.1139,2.22281,9.91336,1.84515,0.00195509,0.00195509,0.00195509
26,228.448,1.73615,1.58022,1.40127,0.33874,0.41667,0.38922,0.14191,2.26681,6.60307,1.87774,0.0019513,0.0019513,0.0019513
27,233.327,1.79505,1.50058,1.40233,0.61573,0.75,0.62923,0.15808,2.29023,2.72314,1.80566,0.00194736,0.00194736,0.00194736
28,240.596,2.10313,1.79072,1.50314,0.40964,0.5,0.4529,0.12477,2.4807,2.75472,1.98304,0.00194328,0.00194328,0.00194328
29,245.494,1.76291,1.73363,1.43787,0.54189,0.5,0.49209,0.17392,2.1119,2.34495,1.69831,0.00193904,0.00193904,0.00193904
30,247.98,1.91648,1.38573,1.30546,0.5467,0.5,0.47455,0.18715,2.27206,2.25817,1.84563,0.00193466,0.00193466,0.00193466
31,262.893,1.76387,1.59334,1.34173,0.61075,0.41667,0.43354,0.22648,2.26368,2.10207,1.83109,0.00193013,0.00193013,0.00193013
32,271.525,1.78042,1.41541,1.32006,0.53779,0.58188,0.41419,0.14337,2.34406,1.98112,1.9068,0.00192545,0.00192545,0.00192545
33,284.399,1.79651,1.54321,1.45915,0.25549,0.66667,0.21006,0.06207,2.73906,2.30652,2.28099,0.00192063,0.00192063,0.00192063
34,286.92,1.99427,1.62385,1.30881,0.41752,0.5,0.40004,0.15369,2.38203,1.87513,1.89775,0.00191566,0.00191566,0.00191566
35,299.689,1.84502,1.77336,1.53307,0.50126,0.58333,0.53313,0.2061,2.10867,1.84023,1.70011,0.00191056,0.00191056,0.00191056
36,313.746,1.67071,1.58898,1.40597,0.61379,0.58333,0.63098,0.24721,1.95632,1.76331,1.61463,0.0019053,0.0019053,0.0019053
37,316.661,1.79843,1.52958,1.30488,0.82481,0.66667,0.624,0.26952,1.87194,1.76775,1.53748,0.00189991,0.00189991,0.00189991
